year,material,region,end_use,value
1870,tin,EU27,construction,0.03359256262634088
1870,tin,EU27,computers_and_precision_instruments,0.02610121173875363
1870,tin,EU27,electrical_equipment,0.0596346383037305
1870,tin,EU27,machinery_and_equipment,0.5477391726576106
1870,tin,EU27,motor_vehicles_trailers_and_semi_trailers,0.11376470678125633
1870,tin,EU27,other_transport_equipment,0.028415701696825644
1870,tin,EU27,products_nec,0.19075200619548255
1870,tin,China,construction,0.08776600684371816
1870,tin,China,computers_and_precision_instruments,0.2826431800730749
1870,tin,China,electrical_equipment,0.2133516779209445
1870,tin,China,machinery_and_equipment,0.14460705386577555
1870,tin,China,motor_vehicles_trailers_and_semi_trailers,0.10652970111827786
1870,tin,China,other_transport_equipment,0.02946290161061225
1870,tin,China,products_nec,0.13563947856759678
1870,tin,RoW,construction,0.046002847230602245
1870,tin,RoW,computers_and_precision_instruments,0.10353869952084666
1870,tin,RoW,electrical_equipment,0.08668278827341093
1870,tin,RoW,machinery_and_equipment,0.18318081529356
1870,tin,RoW,motor_vehicles_trailers_and_semi_trailers,0.10769145025088785
1870,tin,RoW,other_transport_equipment,0.031444072258313825
1870,tin,RoW,products_nec,0.4414593271723785
1870,zinc,EU27,construction,0.04439268167402701
1870,zinc,EU27,computers_and_precision_instruments,0.03412028997985038
1870,zinc,EU27,electrical_equipment,0.07808439195154034
1870,zinc,EU27,machinery_and_equipment,0.5103908238122028
1870,zinc,EU27,motor_vehicles_trailers_and_semi_trailers,0.11650738817339636
1870,zinc,EU27,other_transport_equipment,0.03221177170505458
1870,zinc,EU27,products_nec,0.18429265270392856
1870,zinc,China,construction,0.025069550820095318
1870,zinc,China,computers_and_precision_instruments,0.4001582449466762
1870,zinc,China,electrical_equipment,0.13128401968205536
1870,zinc,China,machinery_and_equipment,0.0875144313716193
1870,zinc,China,motor_vehicles_trailers_and_semi_trailers,0.12766290101223127
1870,zinc,China,other_transport_equipment,0.01356665693062883
1870,zinc,China,products_nec,0.2147441952366937
1870,zinc,RoW,construction,0.031870968999374576
1870,zinc,RoW,computers_and_precision_instruments,0.1536050823586084
1870,zinc,RoW,electrical_equipment,0.11260292244097059
1870,zinc,RoW,machinery_and_equipment,0.14417234721917999
1870,zinc,RoW,motor_vehicles_trailers_and_semi_trailers,0.11252506965154735
1870,zinc,RoW,other_transport_equipment,0.02688741670666936
1870,zinc,RoW,products_nec,0.4183361926236498
1870,nickel,EU27,construction,0.013189965418056478
1870,nickel,EU27,computers_and_precision_instruments,0.03129489660608008
1870,nickel,EU27,electrical_equipment,0.05602920195293294
1870,nickel,EU27,machinery_and_equipment,0.571322565082707
1870,nickel,EU27,motor_vehicles_trailers_and_semi_trailers,0.11460632490372023
1870,nickel,EU27,other_transport_equipment,0.023320731477542656
